Анна Каренина	Ana Karenina	Anna Karenina	Anna Karenina	Anna Karenina
А вот, как сделаем несчастье Катеньки, как она в самом деле заберет в голову...	–	But she evidently did not wish to continue the conversation in that tone, and turned to the old Countess.	— Non so, non ho mai provato a lungo.	In diesem Augenblick trat noch eine Dame ins Zimmer, und Ljewin stand auf.
-- Да почему же ты думаешь?	¿No admite la posibilidad? –dijo–.	'Thank you very much.	Ho provato un sentimento strano però — soggiunse.	»Entschuldigen Sie mich, Gräfin, aber ich verstehe wirklich nichts davon und kann Ihnen nichts darüber sagen«, entgegnete er und blickte zu einem Offizier hin, der hinter der Dame eintrat.
-- Я не думаю, а знаю; на это глаза есть у нас, а не у баб.	¿Por qué no?	I hardly noticed how the time passed.	— Non ho mai provato tanta nostalgia per la campagna, per la campagna russa con i lapti e con i muziki, come dopo aver vissuto un inverno intero a Nizza con mia madre.	›Das muß Wronski sein‹, dachte Ljewin und schaute, um Gewißheit zu haben, zu Kitty hin.
Я вижу человека, который имеет намерения серьезные, это Левин; и вижу перепела, как этот щелкопер, которому только повеселиться.	Así como admitimos la existencia de la electricidad y no la conocemos, ¿por qué no ha de existir una fuerza nueva y desconocida, la cual...?	Au revoir, Countess.'	Nizza di per sé è noiosa e anche Napoli, Sorrento, sono belle solo per poco tempo.	Diese hatte den Eintretenden bereits erblickt und sah sich jetzt nach Ljewin um.
-- Ну, уж ты заберешь в голову...	–	'Good-bye, dear!' answered the Countess.	E proprio là ci si ricorda intensamente della Russia e in particolare della campagna russa.	Und aus diesem einen Blicke ihrer unwillkürlich aufleuchtenden Augen erkannte Ljewin, daß sie diesen Mann liebte, und erkannte es mit solcher Sicherheit, wie wenn sie es ihm mit Worten mitgeteilt hätte.
-- А вот вспомнишь, да поздно, как с Дашенькой.	Cuando se descubrió la electricidad –respondió Levin inmediatamente– se comprobó el fenómeno y no su causa, y transcurrieron siglos antes de llegar a una aplicación práctica.	'Let me kiss your pretty face.	Esse sono quasi come...	Aber was für ein Mann war dieser Wronski?
-- Ну, хорошо, хорошо, не будем говорить, -- остановила его княгиня, вспомнив про несчастную Долли...	En cambio, los espiritistas parten de la base de que los veladores les transmiten comunicaciones y los espíritus les visitan, y es después cuando agregan que se trata de una fuerza desconocida.	I'm an old woman and say what I mean, and tell you frankly that I've lost my heart to you.'	Egli parlava rivolto a Kitty e a Levin, passando dall’una all’altro il suo tranquillo sguardo cordiale;	Jetzt konnte Ljewin, mochte es nun wohlgetan sein oder nicht, sich nicht dazu entschließen, wegzugehen;
-- И прекрасно, и прощай!	Vronsky, como hasta entonces, escuchaba con atención a Levin, visiblemente interesado por sus palabras.	Conventional as the phrase was, Mrs. Karenina evidently believed it and was pleased.	diceva, evidentemente, quel che gli veniva in testa.	er mußte feststellen, was für ein Mann das war, den sie lieben konnte.
И, перекрестив друг друга и поцеловавшись, но чувствуя, что каждый остался при своем мнении, супруги разошлись.	–Bien; pero los espiritistas dicen que la fuerza existe, aunque no saben cuál es, y añaden que actúa en determinadas circunstancias.	She blushed, stooped a little, and held out her face for the Countess to kiss, then she stood up again, and with the same smile hovering between her lips and eyes held out her hand to Vronsky.	Avendo notato che la contessa Nordston voleva dire qualcosa, non finì ciò che aveva cominciato e prese ad ascoltarla attentamente.	Es gibt Leute, die, wenn sie mit jemandem zusammentreffen, der auf irgendeinem Gebiete ihr glücklicher Nebenbuhler ist, sofort geneigt sind, von allem, was Gutes an ihm ist, die Augen wegzuwenden und nur das Schlechte zu sehen.
Княгиня была сперва твердо уверена, что нынешний вечер решил судьбу Кити и что не может быть сомнения в намерениях Вронского; но слова мужа смутили ее.	A los sabios corresponde descubrir el origen de esa energía.	He pressed the little hand, and the firm grip with which she shook his gave him unusual pleasure.	La conversazione non venne meno neppure un attimo, così che la vecchia principessa che aveva sempre di riserva, in caso fossero venuti a mancare gli argomenti, i due pezzi forti dell’istruzione classica o tecnica e del servizio militare obbligatorio, non ebbe bisogno di tirarli fuori, e la Nordston non ebbe modo di stuzzicare Levin.	Und wiederum gibt es Leute, die in ganz entgegengesetztem Verfahren eifrig danach verlangen, an diesem glücklichen Nebenbuhler diejenigen Eigenschaften herauszufinden, durch die er ihnen den Rang abgelaufen hat, und die an ihm nur das Gute suchen, mag ihnen auch der Schmerz fast das Herz abdrücken.
"И, вернувшись к себе, она, точно так же как и Кити, с ужасом пред неизвестностью будущего, несколько раз повторила в душе: ""Господи помилуй, господи помилуй, господи помилуй!"	No veo por qué no ha de existir una nueva fuerza que...	She went out with that brisk tread which carried her rather full figure with such wonderful ease.	Levin avrebbe voluto entrare nella conversazione generale, ma non gli riusciva;	Ljewin gehörte zu dieser Art.
""""	–Porque –interrumpió de nuevo Levin– en la electricidad se da el fenómeno de que siempre que usted frote resina con lana se produce cierta reacción, mientras que en el espiritismo, en iguales circunstancias, no se dan los mismos efectos, lo que quiere decir que no se trata de un fenómeno natural.	'Very charming,' said the old lady.	e dicendo a se stesso ogni minuto:	Und es wurde ihm nicht schwer, bei Wronski das Gute und Anziehende herauszufinden.
XVI	La charla se hacía demasiado grave para el ambiente del salón y Vronsky, comprendiéndolo, en vez de replicar, trató de cambiar de tema.	Her son thought so too.	“è ora d’andar via” non se ne andava, come aspettando qualcosa.	Es sprang ihm sofort in die Augen.
Вронский никогда не знал семейной жизни.	Sonrió, pues, alegremente, y se dirigió a las señoras.	He followed her with his eyes as long as he could see her graceful form, and his face retained its smile.	La conversazione si era orientata intanto verso i tavoli che girano e gli spiriti, e la Nordston, che credeva allo spiritismo, cominciò a raccontare i prodigi che aveva visto.	Wronski war ein Mann von mäßiger Größe, kräftig gebaut, brünett, mit einem hübschen, gutmütigen Gesichte, das einen außerordentlich ruhigen, festen Ausdruck trug.
Мать его была в молодости блестящая светская женщина, имевшая во время замужества, и в особенности после, много романов, известных всему свету.	–	Through the carriage window he saw her approach her brother and speak to him with animation about something that evidently had no connection with him, Vronsky, and that seemed to him provoking.	— Ah, contessa, portatemi ad ogni costo, per amor di Dio, portatemi da loro!	In seinem Gesicht und an seiner ganzen Gestalt, von dem kurz geschorenen dunklen Haar und dem frisch rasierten Kinn bis zu der bequem sitzenden nagelneuen Uniform, war alles an ihm einfach und zugleich vornehm.
Отца своего он почти не помнил и был воспитан в Пажеском корпусе.	Podíamos probar ahora, Princesa –dijo.	'Well, maman, are you quite well?' he said, turning toward his mother.	Io non ho mai visto nulla di straordinario, pur cercandolo dappertutto — disse sorridendo Vronskij.	Wronski ließ zunächst die mit ihm ziemlich gleichzeitig eingetretene Dame zur Fürstin hingehen und trat dann selbst zu dieser und darauf zu Kitty heran.
Выйдя очень молодым блестящим офицером из школы, он сразу попал в колею богатых петербургских военных.	Pero Levin no quiso dejar de completar su pensamiento.	'Quite, everything is all right.	— Va bene, per sabato prossimo — rispose la contessa Nordston.	In dem Augenblicke, als er zu ihr trat, leuchtete in seinen Augen eine besondere Zärtlichkeit auf;
Хотя он и ездил изредка в петербургский свет, все любовные интересы его были вне света.	–	Alexander was very nice, and Varya looks very handsome.	— Ma voi, Konstantin Dmitric, ci credete?	mit einem ganz leisen, glücklichen, bescheiden triumphierenden Lächeln (so schien es Ljewin) beugte er sich in respektvoller, ruhiger Bewegung zu ihr hinab und streckte ihr seine kleine, aber breite Hand entgegen.
В Москве в первый раз он испытал, после роскошной и грубой петербургской жизни, прелесть сближения со светскою милою и невинною девушкой, которая полюбила его.	Opino que el intento de los espiritistas de explicar sus prodigios por la existencia de una fuerza desconocida es muy desacertado.	She is most interesting.'	— chiese a Levin.	Nachdem er alle Anwesenden begrüßt und mit jedem ein paar Worte gesprochen hatte, setzte er sich hin, ohne Ljewin auch nur angesehen zu haben, der seinerseits kein Auge von ihm verwandte.
Ему и в голову не приходило, чтобы могло быть что-нибудь дурное в его отношениях к Кити.	El caso es que hablan de una fuerza espiritual y quieren someterla a ensayos materiales.	And she began to tell about what interested her most, her grandson's christening, for which she had gone to Petersburg, and the special favour the Emperor had shown to her eldest son.	— Perché me lo chiedete?	»Gestatten die Herren, daß ich Sie miteinander bekannt mache«, sagte die Fürstin, auf Ljewin weisend.
На балах он танцевал преиму-- щественно с нею; он ездил к ним в дом.	Todos esperaban que completase su pensamiento y él lo comprendió.	'Here is Lavrenty at last,' said Vronsky looking out of the window.	Sapete già la mia risposta.	»Konstantin Dmitrijewitsch Ljewin, Graf Alexei Kirillowitsch Wronski.«
Он говорил с нею то, что обыкновенно говорят в свете, всякий вздор, но вздор, которому он невольно придавал особенный для нее смысл.	–Pues, a mi entender, sería usted un excelente médium –dijo la condesa Nordston–.	'We can go now if you like.'	— No, io voglio sentire la vostra opinione.	Wronski stand auf, blickte Ljewin freundlich in die Augen und drückte ihm die Hand.
Несмотря на то, что он ничего не сказал ей такого, чего не мог бы сказать при всех, он чувствовал, что она все более и более становилась в зависимость от него, и чем больше он это чувствовал, тем ему было приятнее и его чувство к ней становилось нежнее.	Hay en usted algo de... extático...	The old major-domo, who had accompanied the Countess on her journey, came in and announced that everything was ready, and the Countess rose to go.	— La mia opinione è semplicemente questa — rispose Levin — che questi tavolini che girano dimostrano che la cosiddetta società colta non è al di sopra dei contadini.	»Ich sollte ja wohl in diesem Winter einmal mit Ihnen zusammen an einem Diner teilnehmen«, sagte er mit seinem offenen, ungekünstelten Lächeln.
Он не знал, что его образ действий относительно Кити имеет определенное название, что это есть заманиванье барышень без намерения жениться и что это заманиванье есть один из дурных поступков, обыкновенных между блестящими молодыми людьми, как он.	Levin abrió la boca para replicar; pero se puso rojo y no dijo nada.	'Come, there is not much of a crowd now,' said Vronsky.	Questi credono al malocchio, alla fattura e ai sortilegi, e noi...	»
Ему казалось, что он первый открыл это удовольствие, и он наслаждался своим открытием.	–	The maid took one bag and the little dog, the major-domo and the porter took the other bags.	— Dunque, non ci credete?	Aber Sie waren ganz unerwartet wieder aufs Land gereist.«
Если б он мог слышать, что говорили ее родители в этот вечер, если б он мог перенестись на точку зрения семьи и узнать, что Кити будет несчастна, если он не женится на ней, он бы очень удивился и не поверил бы этому.	Ea, probemos, probemos lo de las mesas –insistió Vronsky.	Vronsky gave his arm to his mother, but, just as they were coming out of the carriage, several people ran past them with frightened faces.	— Non posso crederci, contessa.	»Konstantin Dmitrijewitsch verachtet und haßt die Stadt und uns Städter«, bemerkte die Gräfin Northstone.
Он не мог поверить тому, что то, что доставляло такое большое и хорошее удовольствие ему, а главное ей, могло быть дурно.	Y dirigiéndose a la madre de Kitty, preguntó–: ¿Nos lo permite? –mientras miraba a su alrededor, buscando un velador.	The station-master with his peculiar coloured cap also ran past them.	—	»Meine Worte müssen auf Sie einen starken Eindruck gemacht haben, da Sie sie so gut im Gedächtnis bewahren«, erwiderte Ljewin, errötete aber sofort, da ihm einfiel, daß er dasselbe schon vorhin gesagt hatte.
Еще меньше он мог бы поверить тому, что он должен жениться.	Kitty se levantó para ir a buscarlo.	Evidently something unusual had happened.	Ma se ho visto con i miei occhi?	Wronski blickte Ljewin und die Gräfin Northstone an und lächelte.
Женитьба для него никогда не представлялась возможностью.	Al pasar ante Levin, se cruzaron sus miradas.	The people were running back from the train.	— Anche le contadine raccontano di aver veduto con i loro occhi gli spiriti.	»Sie leben immer auf dem Lande?« fragte er.
Он не только не любил семейной жизни, но в семье, и в особенности в муже, по тому общему взгляду холостого мира, в котором он жил, он представлял себе нечто чуждое, враждебное, а всего более -- смешное.	Ella le compadecía con toda su alma.	'What?... What?... Where?... Thrown himself under... Run over...' shouted the passers-by.	— Così voi pensate che io non dica il vero.	»Ich denke mir, im Winter ist es da recht langweilig.«
Но хотя Вронский и не подозревал того, что говорили родители, он, выйдя в этот вечер от Щербацких, почувствовал, что та духовная тайная связь, которая существовала между ним и Кити, утвердилась нынешний вечер так сильно, что надо предпринять что-то Но что можно и что должно было предпринять, он не мог придумать.	Le compadecía por la pena que le causaba.	Oblonsky, with his sister on his arm, also turned back, and, avoiding the crowd, stood with frightened faces beside the carriage.	E rise senza allegria.	»Wenn man seine Tätigkeit hat, ist es nicht langweilig;
То и прелестно, -- думал он, возвращаясь от Щербацких и вынося от них, как и всегда, приятное чувство чистоты и свежести, происходившее отчасти и оттого, что он не курил целый вечер, и вместе новое чувство умиления пред ее к себе любовью, --	«Perdóneme, si puede», le dijo con los ojos.	The ladies re-entered the carriage, while Vronsky and Oblonsky followed the crowd, to find out about the accident.	— Ma no, Maša, Konstantin Dmitric dice che non ci può credere — disse Kitty, arrossendo per Levin, e questi lo capì e, irritatosi ancor più, voleva rispondere;	auch langweile ich mich nie, wenn ich mit mir allein bin«, versetzte Ljewin in etwas scharfem Tone.
то и прелестно, что ничего не сказано ни мной, ни ею, но мы так понимали друг друга в этом невидимом разговоре взглядов и интонаций, что нынче яснее, чем когда-нибудь, она сказала мне, что любит.	«¡Soy tan feliz!» «Odio a todos, incluso a usted y a mí mismo» , contestó la mirada de él.	A watchman, either tipsy or too much muffled up because of the severe frost, had not heard a tram that was being shunted, and had been run over.	ma Vronskij col suo sorriso aperto, cordiale, venne subito in aiuto della conversazione che minacciava di farsi spiacevole.	»Ich liebe das Landleben«, sagte Wronski, der Ljewins Ton wohl bemerkte, aber tat, als ob ihm nichts auffiele.
И как мило, просто и, главное, доверчиво!	Y cogió el sombrero.	Before Vronsky and Oblonsky returned the ladies had heard this from the major-domo.	— Voi non ne ammettete per nulla la possibilità?	»Aber Sie würden sich hoffentlich nicht dazu verstehen, immer auf dem Lande zu leben, Graf?« fragte die Gräfin Northstone.
Я сам себя чувствую лучше, чище.	Pero la suerte le fue también contraria esta vez.	Oblonsky and Vronsky had both seen the mangled corpse.	— chiese.	»Das weiß ich nicht.
Я чувствую, что у меня есть сердце и что есть во мне много хорошего.	En el instante en que todos se sentaban en torno al velador y Levin se disponía a salir, entró el anciano Príncipe y, tras saludar a las señoras, dijo alegremente a Levin:	Oblonsky was evidently suffering.	— Perché mai?	Auf längere Zeit habe ich es noch nicht versucht.
Эти милые влюбленные глаза!	–¡Caramba! ¿Desde cuándo está usted aquí?	His face was puckered and he seemed ready to cry.	Noi ammettiamo l’esistenza dell’elettricità che pure non conosciamo;	Ich habe einmal eine seltsame Empfindung durchgemacht«, fuhr er fort.
Когда она сказала: и очень...	¡No lo sabía!	'Ah, how terrible! Oh, Anna, if you had seen it!	perché allora non potrebbe esistere una nuova forza ancora sconosciuta, e noi che...	»Ich habe mich nach dem Landleben, nach einem russischen Dorfe mit seinen Bauern und Bastschuhen nirgends so gesehnt wie in Nizza, wo ich mit meiner Mutter einen Winter zubrachte.
Ну так что ж?	Me alegro mucho de verle.	Ah, how terrible!' he kept saying.	— Quando fu scoperta l’elettricità — interruppe pronto Levin — fu scoperto soltanto un fenomeno, e non si sapeva da che cosa derivasse e che cosa producesse;	Nizza ist ja an und für sich langweilig, wie Sie wissen, auch Neapel und Sorrent;
Ну и ничего.	El Príncipe le hablaba a veces de usted, a veces de tú.	Vronsky remained silent.	e passarono secoli prima che si pensasse alla sua applicazione.	schön sind sie nur bei kurzem Aufenthalt.
Мне хорошо, и ей хорошо...	Le abrazó y se puso a hablar con él.	His handsome face was serious but perfectly calm.	Gli spiritisti, invece, hanno cominciato dalla constatazione che i tavolini scrivono e che gli spiriti vanno loro a far visita, e solo dopo si son messi a parlare di una certa forza sconosciuta.	Und gerade dort kommt einem besonders lebhaft die Erinnerung an Rußland und besonders an unsere Dörfer.
И он задумался о том, где ему окончить нынешний вечер.	No había reparado en Vronsky, que se había puesto en pie y esperaba el momento en que el Príncipe se dirigiese a él.	'Oh, if you had seen it, Countess,' said Oblonsky.	Vronskij ascoltava, come del resto ascoltava tutti sempre, attentamente Levin, interessandosi alle sue parole.	Sie sind gleichsam ...«
Он прикинул воображением места, куда он мог бы ехать.	Kitty comprendía que, después de lo ocurrido, la amabilidad de su padre debía resultar muy dolorosa para Levin.	And his wife was there...	— Sì, ma gli spiritisti dicono:	Während er sprach, wandte er sich sowohl an Kitty wie auch an Ljewin und ließ seinen ruhigen, freundlichen Blick von einem zum anderen gleiten;
"""Клуб?"	Notó también la frialdad con que el Príncipe saludó por fin a Vronsky y cómo éste le contemplaba con amistoso asombro, sin duda preguntándose por qué se sentiría tan mal dispuesto hacia él.	It was dreadful to see her.	noi non sappiamo qual forza sia questa, ma è una forza, ed ecco in quali condizioni agisce.	er redete offenbar, wie es ihm gerade in den Sinn kam.
партия безика, шампанское с Игнатовым?	Kitty se ruborizó.	She threw herself on the body.	E che gli scienziati scoprano in che cosa consiste questa forza.	Als er bemerkte, daß die Gräfin Northstone etwas sagen wollte, hielt er inne, ohne den begonnenen Satz zu Ende zu bringen, und hörte ihr aufmerksam zu.
Нет, не поеду.	–Príncipe: déjenos a Constantino Dmitrievich.	They say he was the sole support of a very large family.	No, io non vedo perché questa non possa essere una nuova forza, se essa...	Das Gespräch stockte keinen Augenblick, so daß die alte Fürstin, die für den Fall etwa eintretenden Stoffmangels immer zwei schwere Geschütze in Reserve hielt, den Vergleich der klassischen Bildung mit der Realbildung und die allgemeine Wehrpflicht, diese nicht ins Treffen zu bringen brauchte und die Gräfin Northstone keine Gelegenheit fand, Ljewin aufzuziehen.
Chateau de fleurs, там найду Облонского, куплеты, cancan?	Queremos hacer unos experimentos ––dijo la condesa Nordston.	It is terrible!'	— E perché — interruppe Levin — nel campo dell’elettricità, ogniqualvolta sfregate della resina contro della lana, si manifesta un determinato fenomeno;	Ljewin wünschte wohl, sich an dem allgemeinen Gespräche zu beteiligen, war aber nicht dazu imstande.
Нет, надоело.	–¿Qué experimentos? ¿Con los veladores?	'Can nothing be done for her?' said Mrs. Karenina in an agitated whisper.	mentre qui non sempre si manifesta, dunque non si tratta di un fenomeno naturale.	Jeden Augenblick sagte er sich: ›Jetzt will ich gehen‹, ging aber doch nicht, als wenn er noch auf etwas wartete.
Вот именно за то я люблю Щербацких, что сам лучше делаюсь.	Perdóneme, pero, en mi opinión, casi es más divertido el juego de prendas –opinó el Príncipe mirando a Vronsky y adivinando que era él quien había sugerido el entretenimiento–.	Vronsky glanced at her and at once went out.	Vronskij,	Es war auf Tischrücken und Geister die Rede gekommen, und die Gräfin Northstone, die an den Spiritismus glaubte, begann von wunderbaren Vorgängen zu erzählen, die sie mit angesehen habe.
"Поеду домой""."	Por lo menos, jugar a prendas tiene algún sentido.	'I will be back directly, maman,' he added, turning at the doorway.	accorgendosi che la conversazione stava per prendere un tono troppo serio per un salotto, non replicò e, cercando di mutar argomento, sorrise allegramente e si rivolse alle signore.	»Ach, Gräfin, zu den Leuten müssen Sie mich jedenfalls einmal mit hinnehmen, ich bitte Sie um alles in der Welt, nehmen Sie mich mit hin!
Он прошел прямо в свой номер у Дюссо, велел подать себе ужинать и потом, раздевшись, только успел положить голову на подушку, заснул крепким и спокойным, как всегда, сном.	Vronsky, más extrañado aún, contempló al Príncipe con sus ojos tranquilos.	When he returned a few minutes later Oblonsky was already talking to the Countess about the new opera singer, while she was impatiently glancing at the door in expectation of her son.	— Su, proviamo subito, contessa — cominciò;	Ich habe noch nie etwas Übernatürliches gesehen, obgleich ich überall danach suche«, sagte Wronski lächelnd.
XVII	Luego empezó a hablar con la condesa Nordston del baile que debía celebrarse la semana siguiente.	'Now let's go,' said Vronsky as he came in.	ma Levin voleva finire di esporre quello che pensava.	»Nun gut, also nächsten Sonnabend«, antwortete die Gräfin Northstone.
На другой день, в 11 часов утра, Вронский выехал на станцию Петербургской железной дороги встречать мать, и первое лицо, попавшееся ему на ступеньках большой лестницы, был Облонский, ожидавший с этим же поездом сестру.	–Asistirá usted, ¿verdad? –preguntó a Kitty.	They went together, Vronsky walking in front with his mother, Mrs. Karenina following with her brother.	— Io penso — continuò — che questo sistema degli spiritisti di spiegare i loro prodigi con la trovata della forza nuova, sia quanto mai infelice.	»Wie steht es mit Ihnen, Konstantin Dmitrijewitsch, glauben Sie daran?«
-- А!	En cuanto el viejo Príncipe dejó de hablarle, Levin salió procurando no llamar la atención.	At the exit the stationmaster overtook them, and said to Vronsky:	Essi parlano arditamente di forza spirituale e vogliono poi sottoporre questa a un’esperienza materiale.	wandte sie sich an Ljewin.
ваше сиятельство!-- крикнул Облонский.	La última impresión que retuvo de aquella noche fue la expresión feliz y sonriente del rostro de Kitty al contestar a Vronsky a su pregunta sobre el baile que se había de celebrar.	'You gave my assistant 200 roubles.	Tutti aspettavano che egli smettesse di parlare e lui lo sentiva.	»Warum fragen Sie mich?
-- Ты за кем?	XV	Please be so kind as to say whom you intended it for.'	— Ma io penso che sareste un ottimo medium — disse la contessa Nordston — in voi c’è un certo che di esaltato.	Sie wissen ja, was ich sagen werde.«
--	Cuando todos se hubieron ido, Kitty contó a su madre la conversación sostenida con Levin.	'For the widow,' said Vronsky, shrugging his shoulders.	Levin aprì la bocca, volle dire qualcosa, arrossì e tacque.	»Aber ich möchte gern Ihre Ansicht hören.«
Я за матушкой, -- улыбаясь, как и все, кто встречался с Облонским, отвечал Вронский, -- пожимая ему руку, и вместе с ним взошел на лестницу.	Pese a la compasión que éste le inspiraba, se sentía satisfecha de que hubiese pedido su mano.	'I don't understand what need there is to ask.'	— Su, principessina, proviamo i tavoli, per favore — disse Vronskij.	»Meine Ansicht ist nur die«, antwortete Ljewin, »diese tanzenden Tische beweisen, daß die sogenannte gebildete Gesellschaft in geistiger Hinsicht nicht höher steht als die Bauern
-- Она нынче должна быть из Петербурга.	Estaba segura de haber obrado bien.	'You have given it!' exclaimed Oblonsky behind Vronsky, and pressing his sister's arm he added, 'Very kind, very kind!	— Voi permettete, principessa?	.
-- А я тебя ждал до двух часов.	Pero, una vez acostada, tardó mucho en dormirse.	Isn't he a fine fellow?	E Vronskij cominciò a cercar con gli occhi un tavolino.	Die Bauern glauben an den bösen Blick und an Behexung des Viehs und an Liebeszauber, und wir ...«
Куда же ты поехал от Щербацких?	La imagen de Levin, con el entrecejo arrugado y los ojos bondadosos, contemplándola triste y abatido, mientras escuchaba a su padre y miraba a Vronsky que hablaban juntos, no se apartaba de su mente; y sentía tanta compasión de él que las lágrimas acudieron a sus ojos.	My respects to you, Countess,' and he remained behind with his sister, seeking her maid.	Kitty si alzò dal tavolo e, nel passare accanto a Levin, i suoi occhi si incontrarono con quelli di lui.	»Also Sie glauben nicht daran?«
-- Домой, -- отвечал Вронский. --	Pero luego pensó en el hombre a quien había preferido, evocó su rostro tranquilo y decidido; la noble serenidad y la benevolencia que emanaban de su semblante, y volvió a sentirse alegre y feliz. «Es triste, es triste, pero, ¿qué puedo hacer?	When they came out, the Vronskys' carriage had already started.	Con tutta l’anima ne aveva pena, tanto più che era lei la causa della sua infelicità.	»Ich kann nicht daran glauben, Gräfin.«
Признаться, мне так было приятно вчера после Щербацких, что никуда не хотелось.	Yo no tengo la culpa», se decía.	The people coming from the station were still talking about the accident.	“Se mi si può perdonare, perdonatemi — diceva il suo sguardo.	»Aber wenn ich es doch mit eigenen Augen gesehen habe?«
-- Узнаю коней ретивых по каким-то их таврам, юношей влюбленных узнаю по их глазам, -- продекламировал Степан Аркадьич точно так же, как прежде Левину.	Una voz interior le aseguraba lo contrario.	'What a terrible death!' said some gentleman as he passed them; 'cut in half, I hear.'	— Sono così felice”.	»Die Bauersfrauen erzählen auch, daß sie mit eigenen Augen Hauskobolde gesehen haben.«
Вронский улыбнулся с таким видом, что он не отрекается от этого, но тотчас же переменил разговор.	No sabía si se arrepentía de haber atraído a Levin o de haberle rechazado, y estas dudas acibaraban su dicha.	'On the contrary, I think it is a very easy death, instantaneous,' said another.	“Odio tutti, e voi e me stesso” rispondeva lo sguardo di Levin;	»Sie meinen also, daß ich die Unwahrheit sage?«
-- А ты кого встречаешь? -- спросил он.	«¡Perdóname, Dios mío, perdóname!», repitió mentalmente sin cesar, hasta que se durmió.	'How is it that precautions are not taken?' said a third.	e proprio in quel momento egli afferrò il cappello.	Sie lachte ärgerlich und gereizt.
-- Я?	Entre tanto, abajo, en el despacho del Príncipe, se desarrollaba una de las frecuentes escenas que se producían a propósito de aquella hija tan querida.	Mrs. Karenina got into her brother's carriage, and Oblonsky noticed with surprise that her lips were trembling and that it was with difficulty she kept back her tears.	Ma non era destino che dovesse andar via.	»Nicht doch, Mascha; Konstantin Dmitrijewitsch sagt doch nur, daß er nicht daran glauben kann«, suchte Kitty zu vermitteln.
я хорошенькую женщину, -- сказал Облонский,	–	'What is the matter with you, Anna?' he asked when they had gone a few hundred yards.	Mentre gli altri volevano disporsi attorno al tavolino e Levin cercava di andarsene, entrò il principe e, salutate le signore, si rivolse a Levin.	Sie errötete aus Teilnahme für Ljewin, und dieser, der das richtig verstand, wollte eben, nun noch mehr gereizt, eine Antwort geben, da kam Wronski mit seinem offenen, heiteren Lächeln dem Gespräche, das unerfreulich zu werden drohte, zu Hilfe.
-- Вот как!	¡Eso es! ¡Ni más ni menos! –gritaba el Príncipe, gesticulando, mientras se ajustaba su bata gris–.	'It is a bad omen,' she replied.	— Ah — cominciò festoso — è un pezzo che sei qua?	»Sie stellen also die Möglichkeit völlig in Abrede?« fragte er. »
-- Honni soit qui mal y pense!	¡No tienes orgullo ni dignidad!	'What nonsense!' said Oblonsky.	Non lo sapevo neppure.	Warum denn?
Сестру Анну.	¡Estás cubriendo de oprobio a tu hija con ese absurdo y vil proyecto de casamiento!	'You're here, and that is the chief thing.	Son contento di vedervi, molto.	Wir geben doch das Vorhandensein der Elektrizität zu, deren Wesen uns gleichfalls dunkel ist;
-- Ах, это Каренину? -- сказал Вронский.	–Pero, ¡por Dios!, dime: ¿qué he hecho yo? –respondía la Princesa, casi llorando.	You can't think how my hopes rest on you.'	Il vecchio principe parlava a Levin a volte col tu, a volte col voi.	warum könnte es nicht eine neue, uns noch unbekannte Kraft geben, die ...«
--	Sintiéndose feliz y contenta después de la conversación con su hija, había entrado, como siempre, en el despacho del Príncipe para darle las buenas noches.	'And have you known Vronsky long?' she asked.	Lo abbracciò e, parlando con lui, non si accorse di Vronskij che s’era alzato e aspettava tranquillamente che il principe gli rivolgesse la parola.	»Als die Elektrizität entdeckt wurde«, unterbrach ihn Ljewin erregt, »wurde zunächst nur ihre äußere Erscheinungsform entdeckt;
Ты ее, верно, знаешь?	No tenía intención de hablar a su marido de la proposición de Levin y la negativa de Kitty, pero aludió a que lo de Vronsky podía considerarse como firme y sólo faltaba que llegase su madre para formalizarlo.	'Yes.	Kitty sentiva che, dopo quello che era successo, l’espansione del padre doveva riuscire penosa a Levin.	welches der Ursprung der Elektrizität sei und welche Wirkungen sie hervorbringe, das blieb unbekannt, und Jahrhunderte vergingen, ehe man daran dachte, sie praktisch zu verwenden.
-- Кажется, знаю.	El Príncipe, al oírla, se enfureció y comenzó a proferir palabras violentas.	Do you know we hope he will marry Kitty?'	Ma notò pure con quanta freddezza suo padre rispondesse finalmente all’inchino di Vronskij, e come Vronskij guardasse il principe con affettuosa perplessità, cercando di capire come e perché si potesse essere maldisposti verso di lui.	Die Spiritisten dagegen begannen damit, daß sie die Tische schreiben und die Geister zu Besuch kommen ließen, und sagten dann erst, das sei eine unbekannte Kraft.«
Или нет...	–	'Yes?' said Anna softly.	E arrossì.	Wronski hörte, wie er das immer tat, aufmerksam zu und interessierte sich augenscheinlich für das, was Ljewin sagte.
Право, не помню, -- рассеянно отвечал Вронский, смутно представляя себе при имени Карениной что-то чопорное и скучное.	¿Qué has hecho, me preguntas?	'But let us talk about your affairs,' she added, shaking her head as if she wished physically to drive away something superfluous that hampered her.	— Principe, lasciateci Konstantin Dmitric, — disse la contessa Nordston.	»Ja, aber die Spiritisten sagen: ›Jetzt wissen wir noch nicht, was für eine Kraft das ist;
-- Но Алексея Александровича, моего знаменитого зятя, верно, знаешь.	Yo te lo diré.	'Let us talk of your affairs.	— Vogliamo fare una prova.	aber eine Kraft ist da, und man sieht, unter welchen Bedingungen sie wirkt.
