ALICE'S ADVENTURES IN WONDERLAND	Alicia en el país de las maravillas	ALICE NEL PAESE DELLE MERAVIGLIE	Alice no País das Maravilhas	Alice au pays des merveilles	Alice’s Abenteuer im Wunderland
'Ten hours the first day,' said the Mock Turtle: 'nine the next, and so on.'	Alicia hizo un esfuerzo por imaginar lo que sería vivir de una forma tan extraordinaria, pero no lo veía ni pizca claro, de modo que siguió preguntando: --Pero, ¿por qué vivían en el fondo de un pozo?	— disse il Gatto, non hai che da camminare.	Continuou por tanto tempo que tiveram de lhe dar um beliscão para o calar.	PORC ET POIVRE.	»Ich glaube kaum,« erwiderte Alice vorsichtig; »aber Mama sagte gestern, ich sollte zu meiner kleinen Schwester gehen und ihr die Zeit vertreiben.«
'What a curious plan!' exclaimed Alice.	--Toma un poco más de té --ofreció solícita	Alice sentì che quegli aveva ragione e tentò un'altra domanda.	'Bem, mal tinha acabado o primeiro verso,' disse o Chapeleiro, 'quando a Rainha deu um pulo e gritou, 'Ele está a matar o tempo!	Alice resta une ou deux minutes à regarder à la porte ;	»So?
'That's the reason they're called lessons,' the Gryphon remarked: 'because they lessen from day to day.'	la Liebre de Marzo	— Che razza di gente c'è in questi dintorni?	Cortem-lhe a cabeça!	elle se demandait ce qu’il fallait faire, quand tout à coup un laquais en livrée sortit du bois en courant.	das wird sie dir schön übel genommen haben;
This was quite a new idea to Alice, and she thought it over a little before she made her next remark.	.	— Da questa parte, — rispose il Gatto, facendo un cenno con la zampa destra, — abita un Cappellaio;	''	(Elle le prit pour un laquais à cause de sa livrée ;	sie läßt sich nicht gern vertreiben.
'Then the eleventh day must have been a holiday?'	--Hasta ahora no he tomado nada --protestó Alicia en tono ofendido--, de modo que no puedo tomar más.	e da questa parte, — indicando con l'altra zampa, — abita una Lepre di Marzo.	'Que barbaridade!' exclamou Alice.	sans cela, à n’en juger que par la figure, elle l’aurait pris pour un poisson.	Aber wenn man gut mit ihr steht, so tut sie Einem beinah
'Of course it was,' said the Mock Turtle.	--Quieres decir que no puedes tomar menos	Visita l'uno o l'altra, sono tutt'e due matti.	'E desde então', continuou o Chapeleiro com um tom de voz choroso, 'não faz nada do que eu lhe peço!	)	Alles
'And how did you manage on the twelfth?' Alice went on eagerly.	--puntualizó el Sombrerero--.	— Ma io non voglio andare fra i matti, — osservò Alice.	O tempo parou nas seis horas.	Il frappa fortement avec son doigt à la porte.	zu
'That's enough about lessons,' the Gryphon interrupted in a very decided tone: 'tell her something about the games now.'	Es mucho más fácil tomar más que nada.	— Oh non ne puoi fare a meno, — disse il Gatto, — qui siamo tutti matti.	'	Elle fut ouverte par un autre laquais en livrée qui avait la face toute ronde et de gros yeux comme une grenouille.	Gefallen
CHAPTER X The Lobster Quadrille	--Nadie le pedía su opinión --dijo Alicia.	Io sono matto, tu sei matta.	Alice teve uma ideia brilhante.	Alice remarqua que les deux laquais avaient les cheveux poudrés et tout frisés.	mit
The Mock Turtle sighed deeply, and drew the back of one flapper across his eyes.	--¿Quién está haciendo ahora observaciones personales? --preguntó el Sombrerero en tono triunfal.	— Come sai che io sia matta?	'É por isso que têm tanta louça em cima da mesa?	Elle se sentit piquée de curiosité, et, voulant savoir ce que tout cela signifiait, elle se glissa un peu en dehors du bois afin d’écouter.	der Uhr
He looked at Alice, and tried to speak, but for a minute or two sobs choked his voice.	Alicia no supo qué contestar a esto.	— domandò Alice.	', perguntou.	Le Laquais	.
'Same as if he had a bone in his throat,' said the Gryphon: and it set to work shaking him and punching him in the back.	Así pues, optó por servirse un poco de té y pan con mantequilla.	— Tu sei matta, — disse il Gatto, — altrimenti non saresti venuta qui.	'Sim, é isso,' disse o Chapeleiro desconsolado: 'é sempre hora do chá, e portanto nunca temos tempo para lavar as coisas.	-	Zum Beispiel, nimm den Fall, es wäre 9 Uhr Morgens, gerade Zeit, deine Stunden anzufangen, du brauchtest der Zeit nur den kleinsten Wink zu geben, schnurr!
At last the Mock Turtle recovered his voice, and, with tears running down his cheeks, he went on again:--	Y después, se volvió hacia el Lirón y le repitió la misma pregunta: --¿Por qué vivían en el fondo de un pozo?	Non parve una ragione sufficiente ad Alice, ma pure continuò:	'	Poisson prit de dessous son bras une lettre énorme, presque aussi grande que lui, et la présenta au Laquais-Grenouille en disant d’un ton solennel :	geht die Uhr herum, ehe du dich's versiehst!
'You may not have lived much under the sea--' ('I haven't,' said Alice)-- 'and perhaps you were never even introduced to a lobster--' (Alice began to say 'I once tasted--' but checked herself hastily, and said 'No, never')	El Lirón se puso a cavilar de nuevo durante uno o dos minutos, y entonces dijo: --Era un pozo de melaza.	— E come sai che tu sei matto?	'Então continuam a rodar?	« Pour Madame la Duchesse, une invitation de la Reine à une partie de croquet.	halb Zwei, Essenszeit!
'--so you can have no idea what a delightful thing a Lobster Quadrille is!'	--¡No existe tal cosa!	— Intanto, — disse il Gatto, — un cane non è matto.	' disse Alice.	» Le Laquais-Grenouille répéta sur le même ton solennel, en changeant un peu l’ordre des mots :	« (»Ich wünschte, das wäre es!«
'No, indeed,' said Alice.	Alicia había hablado con energía, pero el Sombrerero y la Liebre de Marzo la hicieron callar con sus «¡Chst! ¡Chst!», mientras el Lirón rezongaba indignado: --Si no sabes comportarte con educación, mejor será que termines tú el cuento.	Lo ammetti?	'Exatamente' disse o Chapeleiro: 'a medida que as coisas vão ficando sujas, vamos mudando de posição.	« De la part de la Reine une invitation pour Madame la Duchesse à une partie de croquet	sagte der Faselhase leise für sich.)
'What sort of a dance is it?'	--No, por favor, ¡continúe! --dijo Alicia en tono humilde--.	— Ammettiamolo, — rispose Alice.	'	;	»Das wäre wirklich famos,« sagte Alice gedankenvoll, »aber dann würde ich nicht hungrig genug sein, nicht wahr?«
'Why,' said the Gryphon, 'you first form into a line along the sea-shore--'	No volveré a interrumpirle.	— Bene, — continuò il Gatto, — un cane brontola quando è in collera, e agita la coda quando è contento.	'Mas o que acontece quando dão a volta toda e voltam ao princípio?	»	»Zuerst vielleicht nicht,« antwortete der Hutmacher, »aber es würde so lange halb Zwei bleiben, wie du wolltest.« »Ich habe etwas dergleichen gehört,« sagte Alice.
'Two lines!' cried the Mock Turtle.	Puede que en efecto exista uno de estos pozos.	Ora io brontolo quando sono contento ed agito la coda quando sono triste.	', atreveu-se Alice a perguntar.	puis tous deux se firent un profond salut et les boucles de leurs chevelures s’entremêlèrent.	»So macht ihr es wohl hier?« fragte Alice.
'Seals, turtles, salmon, and so on; then, when you've cleared all the jelly-fish out of the way--'	--¡Claro que existe uno! -exclamó el Lirón indignado.	Dunque sono matto.	'Suponho que mudamos de assunto,' interrompeu a Lebre de Março, bocejando.	Cela fit tellement rire Alice qu’elle eut à rentrer bien vite dans le bois de peur d’être entendue ;	Der Hutmacher schüttelte traurig den Kopf.
'That generally takes some time,' interrupted the Gryphon.	Pero, sin embargo, estuvo dispuesto a seguir con el cuento--.	— Io direi far le fusa e non già brontolare, — disse Alice.	'Estou a ficar cansada disto.	et quand elle avança la tête pour regarder de nouveau, le Laquais-Poisson était parti, et l’autre était assis par terre près de la route, regardant niaisement en l’air.	»Ich nicht!« sprach er.
'--you advance twice--'	Así pues, nuestras tres hermanitas... estaban aprendiendo a dibujar, sacando...	— Di' come ti pare, — rispose il Gatto.	Proponho que a senhorita nos conte uma história.	Alice s’approcha timidement de la porte et frappa.	»Wir haben uns vorige Ostern entzweit kurz ehe er toll wurde, du weißt doch (mit seinem Teelöffel auf den Faselhasen zeigend)
'Each with a lobster as a partner!' cried the Gryphon.	--¿Qué sacaban? --preguntó Alicia, que ya había olvidado su promesa.	— Vai oggi dalla Regina a giocare a croquet?	'	« Cela ne sert à rien du tout	es war in dem großen Concert, das die Coeur Königin gab;
'Of course,' the Mock Turtle said: 'advance twice, set to partners--' '--change lobsters, and retire in same order,' continued the Gryphon.	--Melaza --contestó el Lirón, sin tomarse esta vez tiempo para reflexionar.	— Sì, che ci andrei, — disse Alice, — ma non sono stata ancora invitata.	'Receio não conhecer nenhuma' disse Alice, bastante alarmada com a proposta.	de	ich mußte singen:
'Then, you know,' the Mock Turtle went on, 'you throw the--'	--Quiero una taza limpia --les interrumpió el Sombrerero--.	— Mi rivedrai da lei, — disse il Gatto, e scomparve.	'Então que seja o Arganaz a contar!' gritaram os outros dois.	frapper, » dit le Laquais, « et cela pour deux raisons : premièrement, parce que je suis du même côté de la porte que vous ;	›O Papagei, o Papagei!
'The lobsters!' shouted the Gryphon, with a bound into the air.	Corrámonos todos un sitio.	Alice non se ne sorprese;	'Acorda, Arganaz!'	deuxièmement, parce qu’on fait là-dedans un tel bruit que personne ne peut vous entendre	Wie grün sind deine Federn!‹
'--as far out to sea as you can--'	Se cambió de silla mientras hablaba, y el Lirón le siguió: la Liebre de Marzo pasó a ocupar el sitio del Lirón, y Alicia ocupó a regañadientes el asiento de la Liebre de Marzo.	si stava abituando a veder cose strane.	E beliscaram-no nos dois lados ao mesmo tempo.	.	Vielleicht kennst du das Lied ?«
'Swim after them!' screamed the Gryphon.	El Sombrerero era el único que salía ganando con el cambio, y Alicia estaba bastante peor que antes, porque la Liebre de Marzo acababa de derramar la leche dentro de su plato.	Mentre guardava ancora il posto occupato dal Gatto, eccolo ricomparire di nuovo.	O Arganaz abriu lentamente os olhos.	»	»Ich habe etwas dergleichen gehört,« sagte Alice.
'Turn a somersault in the sea!' cried the Mock Turtle, capering wildly about.	Alicia no quería ofender otra vez al Lirón, de modo que empezó a hablar con mucha prudencia: --Pero es que no lo entiendo.	— A proposito, che n'è successo del bambino?	'Não estava a dormir,' disse ele com uma voz cansada e frágil: '	En effet, il se faisait dans l’intérieur un bruit extraordinaire, des hurlements et des éternuements continuels, et de temps à autre un grand fracas comme si on brisait de la vaisselle.	»Es geht weiter,« fuhr der Hutmacher fort:
'Change lobster's again!' yelled the Gryphon at the top of its voice.	¿De donde sacaban la melaza?	— disse il Gatto.	Ouvi tudo aquilo que vocês disseram.	« Eh bien !	»Du grünst nicht nur zur Friedenszeit
'Back to land again, and that's all the first figure,' said the Mock Turtle, suddenly dropping his voice; and the two creatures, who had been jumping about like mad things all this time, sat down again very sadly and quietly, and looked at Alice.	--Uno puede sacar agua de un pozo de agua --dijo el Sombrerero--, ¿por qué no va a poder sacar melaza de un pozo de melaza?	—.Avevo dimenticato di domandartelo.	'	comment puis-je entrer, s’il vous plaît ?	Auch wenn es Teller und Töpfe schneit.
'It must be a very pretty dance,' said Alice timidly.	¡No seas estúpida!	— S'è trasformato in porcellino, — rispose Alice tranquillamente, come se la ricomparsa del Gatto fosse più che naturale.	'Conte-nos uma história!	» demanda	O Papagei, o Papagei -«
'Would you like to see a little of it?' said the Mock Turtle.	--Pero es que ellas estaban dentro, bien adentro --le dijo Alicia al Lirón, no queriéndose dar por enterada de las últimas palabras del Sombrerero.	— Me l'ero figurato, — disse il Gatto, e svanì di nuovo.	' disse a Lebre de Março.	Alice	Hier schüttelte sich das Murmelthier und fing an im Schlaf zu singen: »O Papagei, o Mamagei, o Papagei, o Mamagei -« in einem fort, so daß sie es zuletzt kneifen mußten, damit es nur aufhöre.
'Very much indeed,' said Alice.	--Claro que lo estaban --dijo el Lirón--.	Alice aspettò un poco con la speranza di rivederlo, ma non ricomparve più, ed ella pochi istanti dopo prese la via dell'abitazione della Lepre di Marzo.	'Sim, por favor!' pediu Alice.	.	»Denke dir, ich hatte kaum den ersten Vers fertig,« sagte der Hutmacher, »als die Königin ausrief: Abscheulich!
'Come, let's try the first figure!' said the Mock Turtle to the Gryphon.	Estaban de lo más requetebién.	“Di cappellai ne ho veduti tanti, — disse fra sè:	'E depressinha,' acrescentou o Chapeleiro, 'ou voltas a adormecer antes de acabar.	« Il y aurait quelque bon sens à frapper à cette porte, » continua le Laquais sans l’écouter, « si nous avions la porte entre nous deux.	der Mensch schlägt geradezu die Zeit tot mit seinem Geplärre.
'We can do without lobsters, you know.	Alicia quedó tan confundida al ver que el Lirón había entendido algo distinto a lo que ella quería decir, que no volvió a interrumpirle durante un ratito.	— sarà più interessante la Lepre di Marzo.	'	Par exemple, si vous étiez à l’intérieur vous pourriez frapper et je pourrais vous laisser sortir.	Aufgehängt soll er werden!«
Which shall sing?'	--Nuestras tres hermanitas estaban aprendiendo, pues, a dibujar --siguió el Lirón, bostezando y frotándose los ojos, porque le estaba entrando un sueño terrible--, y dibujaban todo tipo de cosas... todo lo que empieza con la letra M...	Ma siccome siamo nel mese di maggio, non sarà poi tanto matta... almeno sarà meno matta che in marzo”.	'Era uma vez três pequenas irmãs,' começou apressadamente o Arganaz; 'cujos os seus nomes eram Elsie, Lacie e Tillie; e viviam no fundo de um poço--'	»	»Wie furchtbar grausam!« rief Alice.
'Oh, you sing,' said the Gryphon.	--¿Por qué con la M? --preguntó Alicia.	Mentre diceva così guardò in su, e vide di nuovo il Gatto, seduto sul ramo d'un albero.	'Como é que elas viviam?	Il regardait en l’air tout le temps qu’il parlait, et Alice trouvait cela très-impoli.	»Und seitdem,« sprach der Hutmacher traurig weiter, »hat sie mir nie etwas zu Gefallen tun wollen, die Zeit!
'I've forgotten the words.'	--¿Y por qué no? --preguntó la Liebre de Marzo.	— Hai detto porcellino o porcellana?	' disse Alice, que sempre se interessara por questões de comida e bebida.	« Mais peut-être ne peut-il pas s’en empêcher, » dit-elle ;	Es ist nun immer 6 Uhr!«
So they began solemnly dancing round and round Alice, every now and then treading on her toes when they passed too close, and waving their forepaws to mark the time, while the Mock Turtle sang this, very slowly and sadly:	Alicia guardó silencio.	— domandò il Gatto.	Elas viviam num melado,' disse o Arganaz, após pensar um minuto ou dois.	« il a les yeux presque sur le sommet de la tête.	Dies brachte Alice auf einen klugen Gedanken.
-- ''Will you walk a little faster?' said a whiting to a snail.	Para entonces, el Lirón había cerrado los ojos y empezaba a cabecear.	— Ho detto porcellino, — rispose Alice;	'Não podiam fazer isso, sabe,' disse Alice gentilmente; 'teriam ficado doentes.	Dans tous les cas il pourrait bien répondre à mes questions.	»Darum sind wohl so viele Tassen hier herumgestellt?« fragte sie.
'There's a porpoise close behind us, and he's treading on my tail.	Pero, con los pellizcos del Sombrerero, se despertó de nuevo, soltó un gritito y siguió la narración: --... lo que empieza con la letra M, como matarratas, mundo, memoria y mucho... muy, en fin todas esas cosas.	— ma ti prego di non apparire e scomparire con tanta rapidità:	'	— Comment faire pour entrer ?	»Ja, darum,« sagte der Hutmacher mit einem Seufzer, »es ist immer Teestunde, und wir haben keine Zeit, die Tassen dazwischen aufzuwaschen.«
See how eagerly the lobsters and the turtles all advance!	Mucho, digo, porque ya sabes, como cuando se dice 'un mucho más que un menos'.	mi fai girare il capo!	'E ficaram' disse o Rato; 'MUITO doentes.	» répéta-t-elle tout haut.	»Dann rückt ihr wohl herum?« sagte Alice.
They are waiting on the shingle--will you come and join the dance?	¿Habéis visto alguna vez el dibujo de un «mucho»?	— Hai ragione, — disse il Gatto;	'	« Je vais rester assis ici, » dit le Laquais, « jusqu’à demain — »	»So ist es,« sage der Hutmacher, »wenn die Tassen genug gebraucht sind.«
Will you, won't you, will you, won't you, will you join the dance?	--Ahora que usted me lo pregunta --dijo Alicia, que se sentía terriblemente confusa--, debo reconocer que yo no pienso...	e questa volta svanì adagio adagio;	Alice tentou imaginar como seria viver de forma tão extraordinária, mas isso era muito difícil, pelo que perguntou: 'Mas como é que elas viviam no fundo de um poço?	Au même instant la porte de la maison s’ouvrit, et une grande assiette vola tout droit dans la direction de la tête du Laquais ;	»Aber wenn ihr wieder an den Anfang kommt?« unterstand sich Alice zu fragen.
Will you, won't you, will you, won't you, won't you join the dance?	--¡Pues si no piensas, cállate! --la	cominciando con la fine della coda e finendo col ghigno, il quale rimase per qualche tempo sul ramo, dopo che tutto s'era dileguato.	'	elle lui effleura le nez, et alla se briser contre un arbre derrière lui.	»Wir wollen jetzt von etwas Anderem reden,« unterbrach sie der Faselhase gähnend, »dieser Gegenstand ist mir nachgerade langweilig.
'You can really have no notion how delightful it will be When they take us up and throw us, with the lobsters, out to sea!'	interrumpió el Sombrerero.	— Curioso!	'Tome mais chá,' disse a Lebre de Março, muito séria.	« — ou le jour suivant peut-être, » continua le Laquais sur le même ton, tout comme si rien n’était arrivé.	Ich schlage vor, die junge Dame erzählt eine Geschichte.«
But the snail replied 'Too far, too far!' and gave a look askance--	Esta última grosería era más de lo que Alicia podía soportar: se levantó muy disgustada y se alejó de allí.	ho veduto spesso un gatto senza ghigno;	'Ainda não tomei nenhum,' respondeu Alice em tom ofendido, 'portanto não posso tomar mais.	« Comment faire pour entrer ?	»O, ich weiß leider keine,« rief Alice, ganz bestürzt über diese Zumutung.
Said he thanked the whiting kindly, but he would not join the dance.	El Lirón cayó dormido en el acto, y ninguno de los otros dio la menor muestra de haber advertido su marcha, aunque Alicia miró una o dos veces hacia atrás, casi esperando que la llamaran.	— osservò Alice, — mai un ghigno senza Gatto.	'	» redemanda Alice	»Dann soll das Murmelthier erzählen!« riefen beide; »wache auf, Murmelthier!«
Would not, could not, would not, could not, would not join the dance.	La última vez que los vio estaban intentando meter al Lirón dentro de la tetera.	È la cosa più strana che mi sia capitata!	'Quer dizer que não pode tomar menos,' disse o Chapeleiro.	en	dabei kniffen sie es von beiden Seiten zugleich.
Would not, could not, would not, could not, could not join the dance.	--¡Por nada del mundo volveré a poner los pies en ese lugar! --se dijo Alicia, mientras se adentraba en el bosque--.	Non s'era allontanata di molto, quando arrivò di fronte alla dimora della Lepre di Marzo:	'é muito fácil tomar mais do que nenhum.	élevant	Das Murmelthier machte langsam die Augen auf.
''What matters it how far we go?' his scaly friend replied.	¡Es la merienda más estúpida a la que he asistido en toda mi vida!	pensò che fosse proprio quella, perchè i comignoli avevano la forma di orecchie, e il tetto era coperto di pelo.	'	la voix	»Ich habe nicht geschlafen,« sagte es mit heiserer, schwacher Stimme, »ich habe jedes Wort gehört, das ihr Jungen gesagt habt.«
'There is another shore, you know, upon the other side.	Mientras decía estas palabras, descubrió que uno de los árboles tenía una puerta en el tronco.	La casa era così grande che ella non osò avvicinarsi se non dopo aver sbocconcellato un po' del fungo che aveva nella sinistra, e esser cresciuta quasi sessanta centimetri di altezza:	'Ninguém pediu a sua opinião.	.	»Erzähle uns eine Geschichte!« sagte der Faselhase.
The further off from England the nearer is to France-- Then turn not pale, beloved snail, but come and join the dance.	--¡Qué extraño! --pensó--.	ma questo non la rendeva più coraggiosa.	' disse Alice.	« Mais devriez-vous entrer ?	»Ach ja, sei so gut!« bat Alice.
Will you, won't you, will you, won't you, will you join the dance?	Pero todo es extraño hoy.	Mentre si avvicinava, diceva fra sè:	'E quem é que está a fazer comentários pessoais agora?	» dit le Laquais.	»Und mach schnell,« fügte der Hutmacher hinzu, »sonst schläfst du ein, ehe sie zu Ende ist.«
Will you, won't you, will you, won't you, won't you join the dance?''	Creo que lo mejor será que entre en seguida.	“E se poi fosse pazza furiosa?	' disse o Chapeleiro triunfante.	« C’est ce qu’il faut se demander, n’est-ce pas ?	»Es waren einmal drei kleine Schwestern,« fing das Murmelthier eilig an, »die hießen Else, Lacie und Tillie, und sie lebten tief unten in einem Brunnen -«
'Thank you, it's a very interesting dance to watch,' said Alice, feeling very glad that it was over at last: 'and I do so like that curious song about the whiting!'	Y entró en el árbol.	Sarebbe meglio che fossi andata dal Cappellaio.	Alice não sabia bem o que dizer: portanto serviu-se de algum chá e pão com manteiga, e depois virou-se para o Arganaz e repetiu a pergunta.	»	»Wovon lebten sie ?« fragte Alice, die sich immer für Essen und Trinken sehr interessierte.
'Oh, as to the whiting,' said the Mock Turtle, 'they--you've seen them, of course?'	Una vez más se encontró en el gran vestíbulo, muy cerca de la mesita de cristal.	”	'Como é que elas viviam no fundo do poço?	Bien certainement, mais Alice trouva mauvais qu’on le lui dît.	»Sie lebten von Syrup,« versetzte das Murmelthier, nachdem es sich eine Minute besonnen hatte.
'Yes,' said Alice, 'I've often seen them at dinn--' she checked herself hastily.	«	VII	'	« C’est vraiment terrible, » murmura-t-elle, « de voir la manière dont ces gens-là discutent, il y a de quoi rendre fou. »	»Das konnten sie ja aber nicht,« bemerkte Alice schüchtern, »da wären sie ja krank geworden.«
'I don't know where Dinn may be,' said the Mock Turtle, 'but if you've seen them so often, of course you know what they're like.'	Esta vez haré las cosas mucho mejor», se dijo a sí misma.	UN TÈ DI MATTI	O Arganaz levou um minuto ou dois pensando, e então disse, 'Era um poço de xarope.	Le Laquais trouva l’occasion bonne pour répéter son observation avec des variantes.	»Das wurden sie auch,« sagte das Murmelthier, »sehr krank.«
'I believe so,' Alice replied thoughtfully.	Y empezó por coger la llavecita de oro y abrir la puerta que daba al jardín.	Sotto un albero di rimpetto alla casa c'era una tavola apparecchiata.	'	« Je resterai assis ici, » dit-il, « l’un dans l’autre, pendant des jours et des jours !	Alice versuchte es sich vorzustellen, wie eine so außergewöhnliche Art zu leben wohl sein möchte;
'They have their tails in their mouths--and they're all over crumbs.'	Entonces se puso a mordisquear cuidadosamente la seta (se había guardado un pedazo en el bolsillo), hasta que midió poco más de un palmo.	Vi prendevano il tè la Lepre di Marzo e il Cappellaio.	'Isso não existe!	»	aber es kam ihr zu kurios vor, sie mußte wieder fragen: »Aber warum lebten sie unten in dem Brunnen ?«
'You're wrong about the crumbs,' said the Mock Turtle: 'crumbs would all wash off in the sea.	Entonces se adentró por el estrecho pasadizo.	Un Ghiro profondamente addormentato stava fra di loro, ed essi se ne servivano come se fosse stato un guanciale, poggiando su di lui i gomiti, e discorrendogli sulla testa.	' disse Alice muito chateada, mas o Chapeleiro e a Lebre fizeram 'Chiu!	« Mais que faut-il que je fasse ? » dit Alice.	»Willst du nicht ein wenig mehr Tee ?« sagte der Faselhase sehr ernsthaft zu Alice.
But they have their tails in their mouths; and the reason is--' here the Mock Turtle yawned and shut his eyes.--'Tell her about the reason and all that,' he said to the Gryphon.	Y entonces... entonces estuvo por fin en el maravilloso jardín, entre las flores multicolores y las frescas fuentes.	“Un gran disturbo per il Ghiro, — pensò Alice, — ma siccome dorme, immagino che non se ne importi nè punto, nè poco.	Chiu!	« Tout ce que vous voudrez, » dit le Laquais ;	»Ein wenig mehr? ich habe noch keinen gehabt,« antwortete Alice etwas empfindlich, »also kann ich nicht noch mehr trinken.«
'The reason is,' said the Gryphon, 'that they would go with the lobsters to the dance.	Capítulo 8 EL CROQUET DE LA REINA	”	' e o Rato disse azedamente, 'Se não consegue se comportar educadamente, talvez seja melhor que termine a história.	et il se mit à siffler.	»Du meinst, du kannst nicht weniger trinken,« sagte der Hutmacher:
So they got thrown out to sea.	Un gran rosal se alzaba cerca de la entrada del jardín: sus rosas eran blancas, pero había allí tres jardineros ocupados en pintarlas de rojo.	La tavola era vasta, ma i tre stavano stretti tutti in un angolo:	'	« Oh ! ce n’est pas la peine de lui parler, » dit Alice, désespérée ;	»es ist sehr leicht, mehr als keinen zu trinken.«
So they had to fall a long way.	A Alicia le pareció muy extraño, y se acercó para averiguar lo que pasaba, y al acercarse a ellos oyó que uno de los jardineros decía: --¡Ten cuidado, Cinco! ¡No me salpiques así de pintura!	— Non c'è posto!	'Não, por favor continua!	« c’est un parfait idiot.	»Niemand hat dich um deine Meinung gefragt,« sagte Alice.
So they got their tails fast in their mouths.	--No es culpa mía --dijo Cinco, en tono dolido--.	Non c'è posto!	' disse Alice humildemente: 'Prometo não te interromper outra vez.	»	»Wer macht denn nun persönliche Bemerkungen?« rief der Hutmacher triumphierend.
So they couldn't get them out again.	Siete me ha dado un golpe en el codo.	— gridarono, vedendo Alice avvicinarsi.	Tenho a certeza que existe pelo menos um.	Puis elle ouvrit la porte et entra.	Alice wußte nicht recht, was sie darauf antworten sollte;
That's all.'	Ante lo cual, Siete levantó los ojos dijo: --¡Muy bonito, Cinco!	— C'è tanto posto!	'	La porte donnait sur une grande cuisine qui était pleine de fumée d’un bout à l’autre.	sie nahm sich daher etwas Tee und Butterbrot, und dann wandte sie sich an das Murmelthier und wiederholte ihre Frage: »Warum lebten sie in einem Brunnen?«
'Thank you,' said Alice, 'it's very interesting.	¡	— disse Alice sdegnata, e si sdraiò in una gran poltrona, a un'estremità della tavola.	'Um, de fato!' disse o Rato indignado.	La Duchesse était assise sur un tabouret à trois pieds, au milieu de la cuisine, et dorlotait un bébé ;	Das Murmelthier besann sich einen Augenblick und sagte dann: »Es war ein Syrup-Brunnen.«
I never knew so much about a whiting before.'	Échale siempre la culpa a los demás!	— Vuoi un po' di vino?	Contudo, concordou em continuar.	la cuisinière, penchée sur le feu, brassait quelque chose dans un grand chaudron qui paraissait rempli de soupe.	»Den gibt es nicht!«
'I can tell you more than that, if you like,' said the Gryphon.	--¡Mejor será que calles esa boca! --dijo Cinco--	— disse la Lepre di Marzo affabilmente.	'E assim, as três irmãs, que estavam a aprender a desenhar...	« Bien sûr, il y a trop de poivre dans la soupe, » se dit Alice, tout empêchée par les éternuements.	fing Alice sehr ärgerlich an;
'Do you know why it's called a whiting?'	.	Alice osservò la mensa, e vide che non c'era altro che tè.	'	Il y en avait certainement trop dans l’air.	aber der Hutmacher und Faselhase machten beide: »Sch, sch!«
'I never thought about it,' said Alice.	¡Ayer mismo oí decir a la Reina que debían cortarte la cabeza!	— Non vedo il vino, — ella osservò.	'O que é que elas desenhavam?	La Duchesse elle-même éternuait de temps en temps, et quant au bébé il éternuait et hurlait alternativement sans aucune interruption.	und das Murmelthier bemerkte brummend: »Wenn du nicht höflich sein kannst, kannst du die Geschichte selber auserzählen.«
'Why?''It does the boots and shoes.' the Gryphon replied very solemnly.	--¿Por qué? --preguntó el que había hablado en primer lugar.	— Non ce n'è, replicò la Lepre di Marzo.	' perguntou Alice, esquecendo-se da sua promessa.	Les deux seules créatures qui n’éternuassent pas, étaient la cuisinière et un gros chat assis sur l’âtre et dont la bouche grimaçante était fendue d’une oreille à l’autre.	»Nein, bitte erzähle weiter!« sagte Alice ganz bescheiden;
Alice was thoroughly puzzled.	--¡Eso no es asunto tuyo, Dos! --dijo Siete.	— Ma non è creanza invitare a bere quel che non c'è, — disse Alice in collera.	'Xarope,' disse o Rato, sem parar para pensar, desta vez.	« Pourriez-vous m’apprendre, » dit Alice un peu timidement, car elle ne savait pas s’il était bien convenable qu’elle parlât la première, « pourquoi votre chat grimace ainsi ?	»ich will dich nicht wieder unterbrechen.
'Does the boots and shoes!' she repeated in a wondering tone.	--¡Sí es asunto suyo! --protestó Cinco--.	— Neppure è stata creanza da parte tua sederti qui senza essere invitata, — osservò la Lepre di Marzo.	'Quero uma xícara limpa,' interrompeu o Chapeleiro: 'vamos mudar de lugar.	»	Es wird wohl einen geben.« »Einen, wirklich!« sagte das Murmelthier entrüstet.
'Why, what are your shoes done with?' said the Gryphon.	Y voy a decírselo: fue por llevarle a la cocinera bulbos de tulipán en vez de cebollas.	— Non sapevo che la tavola ti appartenesse, — rispose Alice;	'	« C’est un Grimaçon, » dit la Duchesse ;	Doch ließ es sich zum Weitererzählen bewegen.
'I mean, what makes them so shiny?'	Siete tiró la brocha al suelo y estaba empezando a decir: «¡Vaya! De todas las injusticias...», cuando sus ojos se fijaron casualmente en Alicia, que estaba allí observándolos, y se calló en el acto.	— è apparecchiata per più di tre.	Enquanto falava já estava a mudar, e o Arganaz o seguiu, a Lebre de Março mudou para o lugar do Arganaz, e Alice, contra vontade, tomou o lugar da Lebre de Março.	« voilà pourquoi.	»
Alice looked down at them, and considered a little before she gave her answer.	Los otros dos se volvieron también hacia ella, y los tres hicieron una profunda reverencia.	— Dovresti farti tagliare i capelli, — disse il Cappellaio.	O Chapeleiro tinha sido o único a beneficiar da mudança, e Alice tinha ficado bastante desfavorecida, porque a Lebre tinha precisamente acabado de entornar a jarra do leite no seu prato.	— Porc ! »	Also die drei kleinen Schwestern sie lernten zeichnen, müßt ihr wissen -«
